,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Ycaiccedov,maracucha rockera opositora amo los gatos defnsoara dlas mascotas d la calle fe y esperanza puestas en la libertad... dios con nosotros🐕😺,"Carabobo, Venezuela",245,108,7656,76,"🎖️HFH 5th #NFTGiveaway 🎁

🎁3 winners selected, each wins 1x Hyena #NFT chosen TONIGHT @ 10:00 PM EST⏰

👇To enter:
1⃣RT + Follow @HedgeFundHyenas
2⃣Join Discord: https://t.co/Nk6ddqUjWw

While in Discord, come talk NFT/crypto investments with our #NFTCommunity &amp; the HFH team! https://t.co/U8hdAX7qF7","['NFTGiveaway', 'NFT']"
1,Caterrific_,#NFT #PLAY2EARN #PLAYTOEARN #CRYPTO #GAMING #CRYPTOGAMING #BLOCKCHAIN #BNB #BTC #Bitcoin #ETH #ALTS,Schweiz,1406,800,22774,46,$TCT #wildcardgame @wildcardp2e - sounds like best crypto game !! Great Stuff !! There are three ways to ultimate success: The first way is to be kind. The second way is to be kind. The third way is to be kind. Bullish!! #BlueChipTaco #Shiba https://t.co/qgW4t3MsLh,['wildcardgame']
2,Aleksei86059415,,,3,1,3,15,"The NFT Collection from @KittyDinger 
launches this month! 🚀

80 Unique Traits 🥳
3000 Supply 🪙

Join the community today!
#NFT #crypto #defi https://t.co/VFpuEWqlCW",[]
3,bbeyondm1,Luxury Affordable Massage - Beyond Massage -beyond ordinary was Established in 2015 as a client centered care personalized attention Massage Salon,"San Diego, CA",3010,990,5827,3,@_Lady_Crypto_ Sometimes being crazy #Shiba 🤣 https://t.co/5RgvjL4AMO,['Shiba']
4,Crypto_And_Kush,"🤜🤛💨💨🚀🚀Crypto and legalized weed enthusiast. Wake, bake and stake
#cro #Fftb I'm part of the #crofam 
 #LoadedLion #3147 #cronoschimp and #madmeerkat",Land of the Free,336,307,387,0,"Wish I knew about @EbisusBay VIP pass earlier but got a founding
 member NFT 🤟 
Use my referral code ZH7Te5fq2z for 5% off the pass which give you discounts on mints going forward. https://t.co/iZRPWypiaU",[]
5,11091989shevchu,,,204,1,155,34,"#InfamArmy❗ Guys, you are the best❗

Our Discord server has just 1 week old🔥🔥🔥 But we hit 1000 users!

Don’t forget to use it and invite friends to get some prizes🏆

#INF #marketing #InfamPlatform #startup #Infam #INFtoken #crypto #DeFi #InfamDiscord https://t.co/NaIWwhghJm",['InfamArmy']
6,Crypto_D_,Cryptobabe cruising the metaverse 🔥🚀🍋📈 #magichero #varrior $vpad $mcrt,,717,153,2104,102,"8000 FOLLOWERS! 🏹 

Let’s hit 10K TODAY! 

RETWEET, LIKE &amp; SHARE!",[]
7,88bigw1n_2022,"Bismillah diparingi ikhlas,ridho Allah 🙏
#jihantesti #BUNALOVE #cutetesty #unclebongtesti #6️⃣5️⃣🎹 
 #kimlovers 
#testinyafina #sobatgarangan #hadiahibuk","Jawa Tengah, Indonesia",4951,138,25129,8156,"$500 | 7 JUTA RUPIAH OR IPHONE XR FOR ONE WINNER IN 72 HRS 🕊

- retweet &amp; follow (turn on all notif 🔔)

@GAContest_ 
@Crypto_Contest_
@Crypto_Adams https://t.co/JdAFZkiKxt",[]
8,Crypto__Trends,"PhD student, digging trend lines, market sentiment and #crypto facts. #Follow me for occasional thoughts and I will #followback. Not Financial Advice.","Boston, MA",74,27,43,0,"@FootBal82842539 @sunflowerfarmz No worries, your ""investment"" has already been recovered by someone else :). Thanks for playing with us.",[]
9,andre_ks04,semoga bisa segera big win 🍀🍀🍀 #LegitFAM #LiT #CBLove 6️⃣5️⃣🎹 #tigergang #funsizedw1n,"Bekasi bisa, Jakarta juga bisa",4935,273,69063,724,"$100 || RT in 12hrs 🐯❤

Follow @j_crypto_2015 + RT their 📌",[]
10,WomanNFT,"WomanNFT.ETH WomanNFT.Tez. Pop CryptoArtist. Making the world a better place for our children through Art, Love and Community. ❤️ My opinions are my own.",Home,9038,15265,57178,0,@Crypto_Breezy7 @cyber_yuyu @CakedApes Cake cake cake cake cake 🎶🎶🎶,[]
11,maknmyendz,"Crypto enthusiast trying to reach the moon one coin at a time 🪙🚀
$Kiba",,659,387,16560,0,"@DoloNFT KIBA IS JUST BREAKING WORLD RECORDS...PROLY NOTHING 🤔
$KIBA #KIBA #MEMECOIN #CRYPTO #ALTCOIN

https://t.co/6D8UfslftE

Telegram: https://t.co/DGSG3gnlvl
Twitter: @KibaInuKiba
Website: https://t.co/W5jKN5PaxT
https://t.co/iWWYUvu6Z6","['KIBA', 'MEMECOIN', 'CRYPTO', 'ALTCOIN']"
12,elgilban914,hanya pencari recehan yg di kasih amanah oleh maha pencipta untuk terus berusaha.. karena tiada usaha yang sia sia.,"Bungbulang, Indonesia",3986,158,18729,0,@Crypto_Contest_ Done https://t.co/rnHNDZg4iP,[]
13,YashSharma1705,,India,711,601,41828,50,"The exercise of an buying bullish on $TCT is the supremist pleasure in life.   -  #TacoCatToken takeover #Crypto   

The ultimate in #P2E #WildCardGame from #BlueChipTaco https://t.co/eYn2uPo7Ph","['TacoCatToken', 'Crypto']"
